Date,SPY - Close,SPY - Volume,US New Daily Cases,US New Daily Deaths,US New Daily Tests,China New Daily Cases,China New Daily Deaths,US Unemployment Rate (%),US Quarterly GDP,Sitting President,Senate Majority Party,VIX - Open,VIX - Close,Season
2/12/14,182.070007,94717700,0,0,0,0,0,6.7,17104.555,Barack Obama,Democrat,14.31,14.3,Winter
2/13/14,183.009995,100542200,0,0,0,0,0,6.7,17104.555,Barack Obama,Democrat,15.24,14.14,Winter
2/14/14,184.020004,96498400,0,0,0,0,0,6.7,17104.555,Barack Obama,Democrat,14.21,13.57,Winter
2/18/14,184.240005,80460900,0,0,0,0,0,6.7,17104.555,Barack Obama,Democrat,13.95,13.87,Winter
2/19/14,183.020004,126524300,0,0,0,0,0,6.7,17104.555,Barack Obama,Democrat,14.85,15.5,Winter
2/20/14,184.100006,104998100,0,0,0,0,0,6.7,17104.555,Barack Obama,Democrat,15.28,14.79,Winter
2/21/14,183.889999,118116400,0,0,0,0,0,6.7,17104.555,Barack Obama,Democrat,14.74,14.68,Winter
2/24/14,184.910004,114063900,0,0,0,0,0,6.7,17104.555,Barack Obama,Democrat,14.83,14.23,Winter
2/25/14,184.839996,117085000,0,0,0,0,0,6.7,17104.555,Barack Obama,Democrat,14.17,13.67,Winter
2/26/14,184.850006,98677200,0,0,0,0,0,6.7,17104.555,Barack Obama,Democrat,13.83,14.35,Winter
2/27/14,185.820007,93880800,0,0,0,0,0,6.7,17104.555,Barack Obama,Democrat,14.56,14.04,Winter
2/28/14,186.289993,150842000,0,0,0,0,0,6.7,17104.555,Barack Obama,Democrat,14.22,14,Winter
3/3/14,184.979996,167748500,0,0,0,0,0,6.7,17104.555,Barack Obama,Democrat,16.469999,16,Winter
3/4/14,187.580002,167545900,0,0,0,0,0,6.7,17104.555,Barack Obama,Democrat,14.53,14.1,Winter
3/5/14,187.75,88376900,0,0,0,0,0,6.7,17104.555,Barack Obama,Democrat,14.13,13.89,Winter
3/6/14,188.179993,82516500,0,0,0,0,0,6.7,17104.555,Barack Obama,Democrat,13.82,14.21,Winter
3/7/14,188.259995,114513500,0,0,0,0,0,6.7,17104.555,Barack Obama,Democrat,13.51,14.11,Winter
3/10/14,188.160004,74939200,0,0,0,0,0,6.7,17104.555,Barack Obama,Democrat,14.76,14.2,Winter
3/11/14,187.229996,99009100,0,0,0,0,0,6.7,17104.555,Barack Obama,Democrat,14.22,14.8,Winter
3/12/14,187.279999,104824400,0,0,0,0,0,6.7,17104.555,Barack Obama,Democrat,15.37,14.47,Winter
3/13/14,185.179993,155014300,0,0,0,0,0,6.7,17104.555,Barack Obama,Democrat,14.28,16.219999,Winter
3/14/14,184.660004,153919600,0,0,0,0,0,6.7,17104.555,Barack Obama,Democrat,16.74,17.82,Winter
3/17/14,186.330002,98359500,0,0,0,0,0,6.7,17104.555,Barack Obama,Democrat,16.389999,15.64,Winter
3/18/14,187.660004,101804600,0,0,0,0,0,6.7,17104.555,Barack Obama,Democrat,15.42,14.52,Winter
3/19/14,186.660004,176267300,0,0,0,0,0,6.7,17104.555,Barack Obama,Democrat,14.56,15.12,Winter
3/20/14,187.75,117241000,0,0,0,0,0,6.7,17104.555,Barack Obama,Democrat,15.58,14.52,Spring
3/21/14,186.199997,163128000,0,0,0,0,0,6.7,17104.555,Barack Obama,Democrat,13.96,15,Spring
3/24/14,185.429993,121411000,0,0,0,0,0,6.7,17104.555,Barack Obama,Democrat,14.7,15.09,Spring
3/25/14,186.309998,103852000,0,0,0,0,0,6.7,17104.555,Barack Obama,Democrat,14.16,14.02,Spring
3/26/14,184.970001,119843000,0,0,0,0,0,6.7,17104.555,Barack Obama,Democrat,13.64,14.93,Spring
3/27/14,184.580002,142383000,0,0,0,0,0,6.7,17104.555,Barack Obama,Democrat,15,14.62,Spring
3/28/14,185.490005,101642000,0,0,0,0,0,6.7,17104.555,Barack Obama,Democrat,14.15,14.41,Spring
3/31/14,187.009995,99745000,0,0,0,0,0,6.7,17104.555,Barack Obama,Democrat,13.88,13.88,Spring
4/1/14,188.25,89193000,0,0,0,0,0,6.2,17432.909,Barack Obama,Democrat,13.43,13.1,Spring
4/2/14,188.880005,78774000,0,0,0,0,0,6.2,17432.909,Barack Obama,Democrat,13.17,13.09,Spring
4/3/14,188.630005,77435000,0,0,0,0,0,6.2,17432.909,Barack Obama,Democrat,13.02,13.37,Spring
4/4/14,186.399994,169381000,0,0,0,0,0,6.2,17432.909,Barack Obama,Democrat,12.88,13.96,Spring
4/7/14,184.339996,140803000,0,0,0,0,0,6.2,17432.909,Barack Obama,Democrat,14.96,15.57,Spring
4/8/14,185.100006,112660000,0,0,0,0,0,6.2,17432.909,Barack Obama,Democrat,15.59,14.89,Spring
4/9/14,187.089996,100254000,0,0,0,0,0,6.2,17432.909,Barack Obama,Democrat,14.58,13.82,Spring
4/10/14,183.160004,172959000,0,0,0,0,0,6.2,17432.909,Barack Obama,Democrat,13.98,15.89,Spring
4/11/14,181.509995,167251000,0,0,0,0,0,6.2,17432.909,Barack Obama,Democrat,16.66,17.030001,Spring
4/14/14,182.940002,132382000,0,0,0,0,0,6.2,17432.909,Barack Obama,Democrat,16.139999,16.110001,Spring
4/15/14,184.199997,157093000,0,0,0,0,0,6.2,17432.909,Barack Obama,Democrat,16.139999,15.61,Spring
4/16/14,186.130005,105197000,0,0,0,0,0,6.2,17432.909,Barack Obama,Democrat,14.89,14.18,Spring
4/17/14,186.389999,105255000,0,0,0,0,0,6.2,17432.909,Barack Obama,Democrat,14.09,13.36,Spring
4/21/14,187.039993,68329000,0,0,0,0,0,6.2,17432.909,Barack Obama,Democrat,14.1,13.25,Spring
4/22/14,187.889999,85790000,0,0,0,0,0,6.2,17432.909,Barack Obama,Democrat,13.13,13.19,Spring
4/23/14,187.449997,73869000,0,0,0,0,0,6.2,17432.909,Barack Obama,Democrat,13.35,13.27,Spring
4/24/14,187.830002,88170000,0,0,0,0,0,6.2,17432.909,Barack Obama,Democrat,13.36,13.32,Spring
